date,max_temp,min_temp,weather,rain
2017-05-01,32,25,多云,0
2017-05-02,34,25,多云,0
2017-05-03,36,26,多云,0
2017-05-04,32,25,大到暴雨,1
2017-05-05,30,24,雷阵雨,1
2017-05-06,31,24,雷阵雨,1
2017-05-07,31,24,雷阵雨,1
2017-05-08,33,24,雷阵雨,1
2017-05-09,31,25,雷阵雨,1
2017-05-10,32,25,雷阵雨,1
2017-05-11,32,25,多云,0
2017-05-12,32,25,雷阵雨,1
2017-05-13,29,25,雷阵雨,1
2017-05-14,31,25,雷阵雨,1
2017-05-15,32,24,雷阵雨,1
2017-05-16,28,24,雷阵雨,1
2017-05-17,30,24,多云,0
2017-05-18,30,24,多云,0
2017-05-19,29,24,雷阵雨,1
2017-05-20,30,24,大雨,1
2017-05-21,30,25,雷阵雨,1
2017-05-22,32,25,雷阵雨,1
2017-05-23,34,27,多云,0
2017-05-24,32,25,大雨,1
2017-05-25,28,25,大雨,1
2017-05-26,28,24,多云,0
2017-05-27,28,25,阵雨,1
2017-05-28,30,25,多云,0
2017-05-29,30,25,多云,0
2017-05-30,31,26,阵雨,1
2017-05-31,33,26,雷阵雨,1
2017-06-01,35,27,多云,0
2017-06-02,37,28,多云,0
2017-06-03,37,28,多云,0
2017-06-04,37,28,多云,0
2017-06-05,37,27,多云,0
2017-06-06,35,27,雷阵雨,1
2017-06-07,33,26,雷阵雨,1
2017-06-08,34,27,雷阵雨,1
2017-06-09,32,26,雷阵雨,1
2017-06-10,32,26,雷阵雨,1
2017-06-11,33,26,雷阵雨,1
2017-06-12,33,26,雷阵雨,1
2017-06-13,34,27,雷阵雨,1
2017-06-14,34,27,雷阵雨,1
2017-06-15,34,27,雷阵雨,1
2017-06-16,34,26,雷阵雨,1
2017-06-17,31,26,雷阵雨,1
2017-06-18,31,26,雷阵雨,1
2017-06-19,32,26,雷阵雨,1
2017-06-20,33,26,雷阵雨,1
2017-06-21,33,26,雷阵雨,1
2017-06-22,34,26,多云,0
2017-06-23,34,27,多云,0
2017-06-24,34,26,雷阵雨,1
2017-06-25,34,26,雷阵雨,1
2017-06-26,35,27,雷阵雨,1
2017-06-27,34,26,多云,0
2017-06-28,34,26,雷阵雨,1
2017-06-29,34,26,雷阵雨,1
2017-06-30,34,26,雷阵雨,1
2017-07-01,35,26,雷阵雨,1
2017-07-02,34,26,雷阵雨,1
2017-07-03,33,26,雷阵雨,1
2017-07-04,32,26,雷阵雨,1
2017-07-05,33,26,雷阵雨,1
2017-07-06,32,25,中雨,1
2017-07-07,31,25,中雨,1
2017-07-08,33,26,雷阵雨,1
2017-07-09,33,26,雷阵雨,1
2017-07-10,34,26,雷阵雨,1
2017-07-11,33,26,阵雨,1
2017-07-12,31,26,雷阵雨,1
2017-07-13,31,25,雷阵雨,1
2017-07-14,29,25,雷阵雨,1
2017-07-15,30,25,中雨,1
2017-07-16,29,25,中雨,1
2017-07-17,31,25,小到中雨,1
2017-07-18,31,26,雷阵雨,1
2017-07-19,32,25,雷阵雨,1
2017-07-20,32,25,雷阵雨,1
2017-07-21,32,25,多云,0
2017-07-22,29,25,中到大雨,1
2017-07-23,30,25,阵雨,1
2017-07-24,31,26,阵雨,1
2017-07-25,31,25,阵雨,1
2017-07-26,32,26,雷阵雨,1
2017-07-27,32,26,雷阵雨,1
2017-07-28,31,26,雷阵雨,1
2017-07-29,32,26,多云,0
2017-07-30,33,27,多云,0
2017-07-31,34,27,多云,0
2017-08-01,35,28,多云,0
2017-08-02,35,27,雷阵雨,1
2017-08-03,34,27,雷阵雨,1
2017-08-04,33,26,雷阵雨,1
2017-08-05,34,25,雷阵雨,1
2017-08-06,34,26,雷阵雨,1
2017-08-07,34,25,雷阵雨,1
2017-08-08,35,27,多云,0
2017-08-09,35,27,多云,0
2017-08-10,35,27,多云,0
2017-08-11,35,27,雷阵雨,1
2017-08-12,35,27,雷阵雨,1
2017-08-13,36,27,多云,0
2017-08-14,36,27,多云,0
2017-08-15,35,26,多云,0
2017-08-16,34,26,多云,0
2017-08-17,33,26,多云,0
2017-08-18,33,26,雷阵雨,1
2017-08-19,33,26,雷阵雨,1
2017-08-20,33,26,雷阵雨,1
2017-08-21,33,26,多云,0
2017-08-22,32,26,多云,0
2017-08-23,29,25,大雨,1
2017-08-24,32,25,多云,0
2017-08-25,32,26,雷阵雨,1
2017-08-26,31,26,雷阵雨,1
2017-08-27,30,26,大雨,1
2017-08-28,30,25,雷阵雨,1
2017-08-29,29,26,雷阵雨,1
2017-08-30,32,25,多云,0
2017-08-31,33,26,多云,0
2017-09-01,33,25,多云,0
2017-09-02,33,26,多云,0
2017-09-03,33,26,多云,0
2017-09-04,34,27,多云,0
2017-09-05,33,27,雷阵雨,1
2017-09-06,33,26,雷阵雨,1
2017-09-07,32,25,雷阵雨,1
2017-09-08,33,26,雷阵雨,1
2017-09-09,34,26,多云,0
2017-09-10,34,26,多云,0
2017-09-11,35,25,雷阵雨,1
2017-09-12,33,26,多云,0
2017-09-13,32,26,多云,0
2017-09-14,30,26,中到大雨,1
2017-09-15,32,26,雷阵雨,1
2017-09-16,32,26,多云,0
2017-09-17,33,26,多云,0
2017-09-18,34,26,多云,0
2017-09-19,34,26,多云,0
2017-09-20,34,26,多云,0
2017-09-21,32,26,多云,0
2017-09-22,32,25,雷阵雨,1
2017-09-23,32,25,雷阵雨,1
2017-09-24,31,25,暴雨,1
2017-09-25,32,26,多云,0
2017-09-26,32,26,多云,0
2017-09-27,33,26,多云,0
2017-09-28,31,26,雷阵雨,1
2017-09-29,31,25,雷阵雨,1
2017-09-30,32,25,雷阵雨,1
2017-10-01,32,25,雷阵雨,1
2017-10-02,31,25,雷阵雨,1
2017-10-03,31,25,雷阵雨,1
2017-10-04,32,26,雷阵雨,1
2017-10-05,29,25,雷阵雨,1
2017-10-06,28,25,中到大雨,1
2017-10-07,31,25,阵雨,1
2017-10-08,30,25,雷阵雨,1
2017-10-09,29,25,大雨,1
2017-10-10,31,25,雷阵雨,1
2017-10-11,30,25,雷阵雨,1
2017-10-12,30,25,多云,0
2017-10-13,29,24,多云,0
2017-10-14,29,23,多云,0
2017-10-15,22,19,大暴雨,1
2017-10-16,26,20,多云,0
2017-10-17,27,24,中到大雨,1
2017-10-18,27,24,阵雨,1
2017-10-19,29,23,多云,0
2017-10-20,27,23,阵雨,1
2017-10-21,27,23,多云,0
2017-10-22,27,22,多云,0
2017-10-23,27,21,多云,0
2017-10-24,27,22,多云,0
2017-10-25,28,21,多云,0
2017-10-26,21,0,多云,0
2017-10-27,21,0,多云,0
2017-10-28,21,0,多云,0
2017-10-29,22,0,多云,0
2017-10-30,26,22,多云,0
2017-10-31,26,21,多云,0
